Description,Part Number,Manufacturer,Supplier,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
F500 White Sealant (310 ml),AN68501FLO,Floorwise,Salesmark West,0.29,0.29,12.08,Ancillaries,Sealant,Salesmark West Floorwise F500 White Sealant (310 ml),Data synced from Rakata
Prestige Combi Underlay (11 mm),AN94968FLO,Floorwise,Salesmark West,3.43,3.43,7.9166666666667,Ancillaries,Underlay,Salesmark West Floorwise Prestige Combi Underlay (11 mm),Data synced from Rakata
Thermaflow Underlay (0.79 TOG / 6.75mm),AN86466FLO,Floorwise,Salesmark West,5.67,5.67,11.25,Ancillaries,Underlay,Salesmark West Floorwise Thermaflow Underlay (0.79 TOG / 6.75mm),Data synced from Rakata
Optima Underlay (Durafit) (1.40 TOG / 8 mm),AN32287FLO,Floorwise,Salesmark West,5.73,5.73,11.25,Ancillaries,Underlay,Salesmark West Floorwise Optima Underlay (Durafit) (1.40 TOG / 8 mm),Data synced from Rakata
Elegance Underlay (2.68 TOG / 10mm),AN44120FLO,Floorwise,Salesmark West,3.81,3.81,7.92,Ancillaries,Underlay,Salesmark West Floorwise Elegance Underlay (2.68 TOG / 10mm),Data synced from Rakata
Allure Underlay (2.89 TOG / 11mm),AN38877FLO,Floorwise,Salesmark West,2.46,2.46,7.92,Ancillaries,Underlay,Salesmark West Floorwise Allure Underlay (2.89 TOG / 11mm),Data synced from Rakata
SP101 5.5mm Ply (1.22 x 2.44),AN38541GEN,Generic,Salesmark West,24.28,24.28,40.83,Ancillaries,Sub floor works,Salesmark West Generic SP101 5.5mm Ply (1.22 x 2.44),Data synced from Rakata
Coloured Scotia (2.4 M Length),AN20683GEN,Generic,Salesmark West,3.17,3.17,6.25,Ancillaries,Profile,Salesmark West Generic Coloured Scotia (2.4 M Length),Data synced from Rakata
FW007 Floorworks Microplast Gripper,AN20986GRI,Gripperrods,Salesmark West,0.55,0.55,2.5,Ancillaries,Gripper,Salesmark West Gripperrods FW007 Floorworks Microplast Gripper,Data synced from Rakata
C110 Contract Gripper (3-row),AN98400INT,Interfloor,Salesmark West,0.61,0.61,2.5,Ancillaries,Gripper,Salesmark West Interfloor C110 Contract Gripper (3-row),Data synced from Rakata
Probond PR260 Primer (5 L),AN68053PRO,Probond,SASGO,24.91,24.91,40.83,Ancillaries,Sub floor works,SASGO Probond Probond PR260 Primer (5 L),Data synced from Rakata
Probond PR298 2-Part Epoxy DPM (Solvent Free) (10 kg),AN80933PRO,Probond,SASGO,96.36,96.36,158.33,Ancillaries,Sub floor works,SASGO Probond Probond PR298 2-Part Epoxy DPM (Solvent Free) (10 kg),Data synced from Rakata
Probond FL330 Fine Flowing Smooth Levelling Compound (20 kg),AN78120PRO,Probond,SASGO,15.0,15.0,33.333333333333,Ancillaries,Sub floor works,SASGO Probond Probond FL330 Fine Flowing Smooth Levelling Compound (20 kg),Data synced from Rakata
Probond FL390 2 Part Rapid Setting Levelling Compound (20 kg),AN63272PRO,Probond,SASGO,19.8,19.8,37.5,Ancillaries,Sub floor works,SASGO Probond Probond FL390 2 Part Rapid Setting Levelling Compound (20 kg),Data synced from Rakata
Probond PR295 Moisture Suppressant (5 kg),AN59784PRO,Probond,SASGO,48.61,48.61,104.16666666667,Ancillaries,Sub floor works,SASGO Probond Probond PR295 Moisture Suppressant (5 kg),Data synced from Rakata
9mm Flooring Grade Ply (8' X 4'),AN66467SAS,SASGO,SASGO,21.59,21.59,32.5,Ancillaries,Sub floor works,SASGO SASGO 9mm Flooring Grade Ply (8' X 4'),Data synced from Rakata
12mm Flooring Grade Ply (8' X 4'),AN23057SAS,SASGO,SASGO,26.99,26.99,39.58,Ancillaries,Sub floor works,SASGO SASGO 12mm Flooring Grade Ply (8' X 4'),Data synced from Rakata
Ted Todd MS Flex Adhesive (15kg),AN51613TED,Ted Todd,Ted Todd,53.95,53.95,157.5,Ancillaries,Adhesive,Ted Todd Ted Todd Ted Todd MS Flex Adhesive (15kg),Data synced from Rakata
Ted Todd Care Kit - System 3 (Whitened Lacq. & Hardened Oil),AN13976TED,Ted Todd,Ted Todd,41.63,41.63,57.5,Ancillaries,Maintenance,Ted Todd Ted Todd Ted Todd Care Kit - System 3 (Whitened Lacq. & Hardened Oil),Data synced from Rakata
Ted Todd Care Kit - System 4 (Whitened Natural & Hardwax Oil),AN71079TED,Ted Todd,Ted Todd,45.1,45.1,57.5,Ancillaries,Maintenance,Ted Todd Ted Todd Ted Todd Care Kit - System 4 (Whitened Natural & Hardwax Oil),Data synced from Rakata
Ted Todd Care Kit - System 1 (Lacq. & Hardened Oil),AN40245TED,Ted Todd,Ted Todd,36.08,36.08,50.0,Ancillaries,Maintenance,Ted Todd Ted Todd Ted Todd Care Kit - System 1 (Lacq. & Hardened Oil),Data synced from Rakata
Ted Todd Easy Clean 1 lt (Lacq. & Hardened Oil),AN13619TED,Ted Todd,Ted Todd,9.69,9.69,11.63,Ancillaries,Maintenance,Ted Todd Ted Todd Ted Todd Easy Clean 1 lt (Lacq. & Hardened Oil),Data synced from Rakata
Ted Todd Care Kit - System 2 (Natural & Hardwax Oil),AN55461TED,Ted Todd,Ted Todd,38.85,38.85,54.17,Ancillaries,Maintenance,Ted Todd Ted Todd Ted Todd Care Kit - System 2 (Natural & Hardwax Oil),Data synced from Rakata
Ted Todd Oak Radiator Pipe Covers (Pair),AN73393TED,Ted Todd,Ted Todd,13.82,13.82,20.73,Ancillaries,Other,Ted Todd Ted Todd Ted Todd Oak Radiator Pipe Covers (Pair),Data synced from Rakata
Ted Todd Fidbox - Climatic Monitoring System,AN18381TED,Ted Todd,Ted Todd,182.57,182.57,219.08,Ancillaries,Other,Ted Todd Ted Todd Ted Todd Fidbox - Climatic Monitoring System,Data synced from Rakata
Ted Todd Oak L/End (2.35 M),AN18120TED,Ted Todd,Ted Todd,29.9,29.9,59.8,Ancillaries,Profile,Ted Todd Ted Todd Ted Todd Oak L/End (2.35 M),Data synced from Rakata
Ted Todd Oak Cover Strip 6mm X 34mm (2.35 M),AN23373TED,Ted Todd,Ted Todd,23.9,23.9,47.8,Ancillaries,Profile,Ted Todd Ted Todd Ted Todd Oak Cover Strip 6mm X 34mm (2.35 M),Data synced from Rakata
Ted Todd Oak (T&G) Stair Nosing (2.35 M),AN23629TED,Ted Todd,Ted Todd,50.9,50.9,101.8,Ancillaries,Profile,Ted Todd Ted Todd Ted Todd Oak (T&G) Stair Nosing (2.35 M),Data synced from Rakata
Ted Todd Oak Scotia (Beading) (2.35 M),AN26054TED,Ted Todd,Ted Todd,13.82,13.82,27.64,Ancillaries,Profile,Ted Todd Ted Todd Ted Todd Oak Scotia (Beading) (2.35 M),Data synced from Rakata
Ted Todd Oak Semi-Ramp (2.35 M),AN26751TED,Ted Todd,Ted Todd,29.9,29.9,59.8,Ancillaries,Profile,Ted Todd Ted Todd Ted Todd Oak Semi-Ramp (2.35 M),Data synced from Rakata
Ted Todd Oak T-Section (2.35 M),AN34855TED,Ted Todd,Ted Todd,28.4,28.4,56.8,Ancillaries,Profile,Ted Todd Ted Todd Ted Todd Oak T-Section (2.35 M),Data synced from Rakata
Ted Todd Oak Ramp (0.96 M),AN44786TED,Ted Todd,Ted Todd,21.9,21.9,43.8,Ancillaries,Profile,Ted Todd Ted Todd Ted Todd Oak Ramp (0.96 M),Data synced from Rakata
Ted Todd Oak T-Section (0.96 M),AN57954TED,Ted Todd,Ted Todd,16.6,16.6,33.2,Ancillaries,Profile,Ted Todd Ted Todd Ted Todd Oak T-Section (0.96 M),Data synced from Rakata
Ted Todd Oak Cover Strip 6mm X 44mm (2.35 M),AN78912TED,Ted Todd,Ted Todd,24.9,24.9,49.8,Ancillaries,Profile,Ted Todd Ted Todd Ted Todd Oak Cover Strip 6mm X 44mm (2.35 M),Data synced from Rakata
Ted Todd Oak Ramp (2.35 M),AN82270TED,Ted Todd,Ted Todd,40.9,40.9,81.8,Ancillaries,Profile,Ted Todd Ted Todd Ted Todd Oak Ramp (2.35 M),Data synced from Rakata
Ted Todd Oak L/End (0.96 M),AN85384TED,Ted Todd,Ted Todd,18.9,18.9,37.8,Ancillaries,Profile,Ted Todd Ted Todd Ted Todd Oak L/End (0.96 M),Data synced from Rakata
Ted Todd Oak (T&G) Stair Nosing (0.96 M),AN86571TED,Ted Todd,Ted Todd,30.9,30.9,61.8,Ancillaries,Profile,Ted Todd Ted Todd Ted Todd Oak (T&G) Stair Nosing (0.96 M),Data synced from Rakata
Ted Todd Oak Semi-Ramp (0.96 M),AN89879TED,Ted Todd,Ted Todd,18.9,18.9,37.8,Ancillaries,Profile,Ted Todd Ted Todd Ted Todd Oak Semi-Ramp (0.96 M),Data synced from Rakata
Ted Todd Olympia 3.6mm Underlay (15 SQM),AN79773TED,Ted Todd,Ted Todd,82.6,82.6,137.67,Ancillaries,Underlay,Ted Todd Ted Todd Ted Todd Olympia 3.6mm Underlay (15 SQM),Data synced from Rakata
Ted Todd Amphion 5.0mm Underlay (15 SQM),AN65517TED,Ted Todd,Ted Todd,118.72,118.72,197.87,Ancillaries,Underlay,Ted Todd Ted Todd Ted Todd Amphion 5.0mm Underlay (15 SQM),Data synced from Rakata
Axfelt Triple Layer Underlay,AN79303ULS,Ulster Carpets,Ulster Carpets,4.1,4.1,11.25,Ancillaries,Underlay,Ulster Carpets Ulster Carpets Axfelt Triple Layer Underlay,Data synced from Rakata
Quickstep Laminate Incizo Doorbar (2.15 M),AN93773QUI,Quickstep,Unilin,15.241666666667,15.241666666667,32.5,Ancillaries,Profile,Unilin Quickstep Quickstep Laminate Incizo Doorbar (2.15 M),Data synced from Rakata
Flatbead Oak Satin Lacquer (2.4m),AN44698VFX,V4,V4,3.99,3.99,12.5,Ancillaries,Other,V4 V4 Flatbead Oak Satin Lacquer (2.4m),Data synced from Rakata
Woodpecker MS Parquet Adhesive (16kg),AN19311WOO,Woodpecker,Woodpecker,88.0,88.0,161.33,Ancillaries,Adhesive,Woodpecker Woodpecker Woodpecker MS Parquet Adhesive (16kg),Data synced from Rakata
Woodpecker Cleaning Kit (Oiled),AN61349WOO,Woodpecker,Woodpecker,22.0,22.0,40.33,Ancillaries,Maintenance,Woodpecker Woodpecker Woodpecker Cleaning Kit (Oiled),Data synced from Rakata
Woodpecker Cleaning Kit (Lacquered/Laminate),AN26632WOO,Woodpecker,Woodpecker,22.0,22.0,40.33,Ancillaries,Maintenance,Woodpecker Woodpecker Woodpecker Cleaning Kit (Lacquered/Laminate),Data synced from Rakata
Woodpecker Cleaning Liquid (Oiled Floors),AN69564WOO,Woodpecker,Woodpecker,5.0,5.0,9.17,Ancillaries,Maintenance,Woodpecker Woodpecker Woodpecker Cleaning Liquid (Oiled Floors),Data synced from Rakata
Woodpecker Cleaning Liquid (Lacquered Floors),AN30278WOO,Woodpecker,Woodpecker,5.0,5.0,9.17,Ancillaries,Maintenance,Woodpecker Woodpecker Woodpecker Cleaning Liquid (Lacquered Floors),Data synced from Rakata
Woodpecker Oak Flat Trim 22mm (1.8 M),AN13140WOO,Woodpecker,Woodpecker,35.0,35.0,64.17,Ancillaries,Profile,Woodpecker Woodpecker Woodpecker Oak Flat Trim 22mm (1.8 M),Data synced from Rakata
Woodpecker Oak Ramp (1.8 M),AN14619WOO,Woodpecker,Woodpecker,40.5,40.5,74.25,Ancillaries,Profile,Woodpecker Woodpecker Woodpecker Oak Ramp (1.8 M),Data synced from Rakata
WP Contour Brass Inlay (1.8M) (9.5mm X 3mm),AN28674WOO,Woodpecker,Woodpecker,23.5,23.5,43.08,Ancillaries,Profile,Woodpecker Woodpecker WP Contour Brass Inlay (1.8M) (9.5mm X 3mm),Data synced from Rakata
Woodpecker Oak T&G Nosing (1.8 M),AN29116WOO,Woodpecker,Woodpecker,60.0,60.0,110.0,Ancillaries,Profile,Woodpecker Woodpecker Woodpecker Oak T&G Nosing (1.8 M),Data synced from Rakata
Woodpecker Oak Ramp (0.9 M),AN30248WOO,Woodpecker,Woodpecker,22.0,22.0,40.33,Ancillaries,Profile,Woodpecker Woodpecker Woodpecker Oak Ramp (0.9 M),Data synced from Rakata
Woodpecker Oak T&G Nosing (0.9 M),AN36163WOO,Woodpecker,Woodpecker,32.5,32.5,59.58,Ancillaries,Profile,Woodpecker Woodpecker Woodpecker Oak T&G Nosing (0.9 M),Data synced from Rakata
Woodpecker Oak L/End (0.9 M),AN46229WOO,Woodpecker,Woodpecker,19.5,19.5,35.75,Ancillaries,Profile,Woodpecker Woodpecker Woodpecker Oak L/End (0.9 M),Data synced from Rakata
Woodpecker Oak Twin (0.9 M),AN50209WOO,Woodpecker,Woodpecker,19.5,19.5,35.75,Ancillaries,Profile,Woodpecker Woodpecker Woodpecker Oak Twin (0.9 M),Data synced from Rakata
Woodpecker Oak Radiator Pipe Covers (Pair),AN54369WOO,Woodpecker,Woodpecker,9.5,9.5,15.83,Ancillaries,Profile,Woodpecker Woodpecker Woodpecker Oak Radiator Pipe Covers (Pair),Data synced from Rakata
Woodpecker Oak Flat Trim 22mm (1.2 M),AN54908WOO,Woodpecker,Woodpecker,25.0,25.0,45.83,Ancillaries,Profile,Woodpecker Woodpecker Woodpecker Oak Flat Trim 22mm (1.2 M),Data synced from Rakata
Woodpecker Oak Overlapping Nosing (0.9 M),AN58977WOO,Woodpecker,Woodpecker,32.5,32.5,59.58,Ancillaries,Profile,Woodpecker Woodpecker Woodpecker Oak Overlapping Nosing (0.9 M),Data synced from Rakata
Woodpecker Oak Flat Trim 44mm (1.2 M),AN59047WOO,Woodpecker,Woodpecker,27.0,27.0,49.5,Ancillaries,Profile,Woodpecker Woodpecker Woodpecker Oak Flat Trim 44mm (1.2 M),Data synced from Rakata
Woodpecker Oak L/End (1.8 M),AN60598WOO,Woodpecker,Woodpecker,36.0,36.0,66.0,Ancillaries,Profile,Woodpecker Woodpecker Woodpecker Oak L/End (1.8 M),Data synced from Rakata
Woodpecker Oak Semi-Ramp (1.8 M),AN60611WOO,Woodpecker,Woodpecker,40.5,40.5,74.25,Ancillaries,Profile,Woodpecker Woodpecker Woodpecker Oak Semi-Ramp (1.8 M),Data synced from Rakata
Woodpecker Oak Overlapping Nosing (1.8 M),AN61858WOO,Woodpecker,Woodpecker,60.0,60.0,110.0,Ancillaries,Profile,Woodpecker Woodpecker Woodpecker Oak Overlapping Nosing (1.8 M),Data synced from Rakata
Woodpecker Oak Flat Trim 44mm (1.8 M),AN65926WOO,Woodpecker,Woodpecker,37.0,37.0,67.83,Ancillaries,Profile,Woodpecker Woodpecker Woodpecker Oak Flat Trim 44mm (1.8 M),Data synced from Rakata
Woodpecker Oak Semi-Ramp (0.9 M),AN86753WOO,Woodpecker,Woodpecker,22.0,22.0,40.33,Ancillaries,Profile,Woodpecker Woodpecker Woodpecker Oak Semi-Ramp (0.9 M),Data synced from Rakata
Woodpecker Oak Twin (1.8 M),AN87913WOO,Woodpecker,Woodpecker,36.0,36.0,66.0,Ancillaries,Profile,Woodpecker Woodpecker Woodpecker Oak Twin (1.8 M),Data synced from Rakata
WP Contour Stainless Steel Inlay (1.8M) (9.5mm X 3mm),AN94327WOO,Woodpecker,Woodpecker,23.5,23.5,43.08,Ancillaries,Profile,Woodpecker Woodpecker WP Contour Stainless Steel Inlay (1.8M) (9.5mm X 3mm),Data synced from Rakata
Woodpecker Oak Scotia (Beading) (1.8M),AN99980WOO,Woodpecker,Woodpecker,13.0,13.0,23.83,Ancillaries,Profile,Woodpecker Woodpecker Woodpecker Oak Scotia (Beading) (1.8M),Data synced from Rakata
Woodpecker Floormate Underlay 3.6mm (10 SQM),AN80825WOO,Woodpecker,Woodpecker,32.5,32.5,59.58,Ancillaries,Underlay,Woodpecker Woodpecker Woodpecker Floormate Underlay 3.6mm (10 SQM),Data synced from Rakata
